Itemset (2): rolls/buns, whole milk | Support: 0.0500
Itemset (2): sausage, whole milk | Support: 0.0367
Itemset (2): sausage, soda | Support: 0.0267
Itemset (2): bottled beer, whole milk | Support: 0.0233
Itemset (2): other vegetables, whole milk | Support: 0.0233
Itemset (2): root vegetables, whole milk | Support: 0.0233
Itemset (2): root vegetables, sausage | Support: 0.0233
Itemset (2): rolls/buns, sausage | Support: 0.0233
Itemset (2): citrus fruit, rolls/buns | Support: 0.0233
Itemset (2): canned beer, whole milk | Support: 0.0233
Itemset (2): canned beer, rolls/buns | Support: 0.0200
Itemset (2): bottled beer, yogurt | Support: 0.0200
Itemset (2): frozen vegetables, whole milk | Support: 0.0200
Itemset (2): other vegetables, root vegetables | Support: 0.0200
Itemset (2): whole milk, yogurt | Support: 0.0200
Itemset (2): rolls/buns, yogurt | Support: 0.0200
Itemset (2): other vegetables, rolls/buns | Support: 0.0167
Itemset (2): bottled water, sausage | Support: 0.0167
Itemset (2): rolls/buns, tropical fruit | Support: 0.0167
Itemset (2): tropical fruit, yogurt | Support: 0.0167
Itemset (2): bottled water, frankfurter | Support: 0.0167
Itemset (2): berries, tropical fruit | Support: 0.0167
Itemset (2): curd, other vegetables | Support: 0.0133
Itemset (2): curd, sausage | Support: 0.0133
Itemset (2): sausage, tropical fruit | Support: 0.0133
Itemset (2): root vegetables, soda | Support: 0.0133
Itemset (2): sausage, specialty bar | Support: 0.0133
Itemset (2): pork, whole milk | Support: 0.0133
Itemset (2): frankfurter, tropical fruit | Support: 0.0133
Itemset (2): margarine, rolls/buns | Support: 0.0133
Itemset (2): citrus fruit, whole milk | Support: 0.0133
Itemset (2): cream cheese , other vegetables | Support: 0.0133
Itemset (2): chicken, whipped/sour cream | Support: 0.0133
Itemset (2): chocolate, whole milk | Support: 0.0133
Itemset (2): chicken, whole milk | Support: 0.0133
Itemset (2): bottled water, whole milk | Support: 0.0133
Itemset (2): canned beer, grapes | Support: 0.0133
Itemset (2): citrus fruit, soda | Support: 0.0133
Itemset (2): canned beer, yogurt | Support: 0.0133
Itemset (2): soda, tropical fruit | Support: 0.0133
Itemset (2): beef, whole milk | Support: 0.0133
Itemset (2): brown bread, frankfurter | Support: 0.0133
Itemset (2): butter, whole milk | Support: 0.0133
Itemset (2): canned beer, citrus fruit | Support: 0.0133
Itemset (2): other vegetables, sausage | Support: 0.0133
Itemset (2): soda, whole milk | Support: 0.0133
Itemset (2): other vegetables, yogurt | Support: 0.0133
Itemset (2): other vegetables, tropical fruit | Support: 0.0133
Itemset (2): root vegetables, tropical fruit | Support: 0.0133
Itemset (2): chicken, curd | Support: 0.0100
Itemset (2): citrus fruit, frankfurter | Support: 0.0100
Itemset (2): chicken, other vegetables | Support: 0.0100
Itemset (2): cream cheese , tropical fruit | Support: 0.0100
Itemset (2): coffee, sausage | Support: 0.0100
Itemset (2): butter, rolls/buns | Support: 0.0100
Itemset (2): brown bread, whole milk | Support: 0.0100
Itemset (2): butter milk, soda | Support: 0.0100
Itemset (2): butter, sausage | Support: 0.0100
Itemset (2): berries, frankfurter | Support: 0.0100
Itemset (2): bottled water, citrus fruit | Support: 0.0100
Itemset (2): bottled beer, rolls/buns | Support: 0.0100
Itemset (2): beef, frankfurter | Support: 0.0100
Itemset (2): beef, berries | Support: 0.0100
Itemset (2): beef, bottled beer | Support: 0.0100
Itemset (2): bottled beer, other vegetables | Support: 0.0100
Itemset (2): chocolate, other vegetables | Support: 0.0100
Itemset (2): citrus fruit, other vegetables | Support: 0.0100
Itemset (2): canned beer, soda | Support: 0.0100
Itemset (2): bottled water, other vegetables | Support: 0.0100
Itemset (2): butter, specialty bar | Support: 0.0100
Itemset (2): frankfurter, rolls/buns | Support: 0.0100
Itemset (2): fruit/vegetable juice, rolls/buns | Support: 0.0100
Itemset (2): frankfurter, yogurt | Support: 0.0100
Itemset (2): frozen vegetables, rolls/buns | Support: 0.0100
Itemset (2): frozen vegetables, root vegetables | Support: 0.0100
Itemset (2): frankfurter, other vegetables | Support: 0.0100
Itemset (2): pip fruit, yogurt | Support: 0.0100
Itemset (2): pastry, rolls/buns | Support: 0.0100
Itemset (2): other vegetables, shopping bags | Support: 0.0100
Itemset (2): other vegetables, soda | Support: 0.0100
Itemset (2): margarine, tropical fruit | Support: 0.0100
Itemset (2): herbs, other vegetables | Support: 0.0100
Itemset (2): other vegetables, pip fruit | Support: 0.0100
Itemset (2): margarine, whole milk | Support: 0.0100
Itemset (2): hard cheese, whole milk | Support: 0.0100
Itemset (2): fruit/vegetable juice, whole milk | Support: 0.0100
Itemset (2): grapes, whole milk | Support: 0.0100
Itemset (2): ham, soda | Support: 0.0100
Itemset (2): hamburger meat, rolls/buns | Support: 0.0100
Itemset (2): hamburger meat, tropical fruit | Support: 0.0100
Itemset (2): hard cheese, other vegetables | Support: 0.0100
Itemset (2): hard cheese, pork | Support: 0.0100
Itemset (2): frozen vegetables, sausage | Support: 0.0100
Itemset (2): rolls/buns, root vegetables | Support: 0.0100
Itemset (2): rolls/buns, soda | Support: 0.0100
Itemset (2): pork, rolls/buns | Support: 0.0100
Itemset (2): rolls/buns, specialty chocolate | Support: 0.0100
Itemset (2): pork, tropical fruit | Support: 0.0100
Itemset (2): specialty bar, whole milk | Support: 0.0100
Itemset (2): specialty bar, yogurt | Support: 0.0100
Itemset (2): specialty chocolate, whole milk | Support: 0.0100
Itemset (2): specialty chocolate, tropical fruit | Support: 0.0100
Itemset (2): tropical fruit, whole milk | Support: 0.0100
Itemset (2): white bread, whole milk | Support: 0.0100
Itemset (3): beef, bottled beer, whole milk | Support: 0.0100
Itemset (3): frozen vegetables, root vegetables, whole milk | Support: 0.0100
Itemset (3): frozen vegetables, sausage, whole milk | Support: 0.0100
Itemset (3): rolls/buns, sausage, whole milk | Support: 0.0100
