Alcohol,Malic_Acid,Ash,Ash_Alcanity,Magnesium
13.64,3.1,2.56,15.2,116
14.21,4.04,2.44,18.9,111
12.93,2.81,2.7,21.0,96
13.73,1.5,2.7,22.5,101
12.37,1.17,1.92,19.6,78
14.3,1.92,2.72,20.0,120
12.0,3.43,2.0,19.0,87
13.4,3.91,2.48,23.0,102
11.61,1.35,2.7,20.0,94
13.36,2.56,2.35,20.0,89
13.5,1.81,2.61,20.0,96
13.5,3.12,2.62,24.0,123
13.41,3.84,2.12,18.8,90
12.77,3.43,1.98,16.0,80
13.63,1.81,2.7,17.2,112
12.52,2.43,2.17,21.0,88
11.41,0.74,2.5,21.0,88
12.08,1.13,2.51,24.0,78
13.86,1.35,2.27,16.0,98
12.08,1.39,2.5,22.5,84
14.19,1.59,2.48,16.5,108
13.11,1.01,1.7,15.0,78
12.33,1.1,2.28,16.0,101
13.4,4.6,2.86,25.0,112
12.77,2.39,2.28,19.5,86
13.78,2.76,2.3,22.0,90
12.42,1.61,2.19,22.5,108
12.37,1.21,2.56,18.1,98
12.08,1.83,2.32,18.5,81
13.56,1.73,2.46,20.5,116
14.02,1.68,2.21,16.0,96
12.37,1.63,2.3,24.5,88
13.16,3.57,2.15,21.0,102
13.58,1.66,2.36,19.1,106
13.75,1.73,2.41,16.0,89
13.88,1.89,2.59,15.0,101
14.34,1.68,2.7,25.0,98
12.53,5.51,2.64,25.0,96
12.37,1.07,2.1,18.5,88
13.48,1.67,2.64,22.5,89
13.07,1.5,2.1,15.5,98
12.22,1.29,1.94,19.0,92
12.67,0.98,2.24,18.0,99
13.34,0.94,2.36,17.0,110
13.62,4.95,2.35,20.0,92
13.16,2.36,2.67,18.6,101
12.08,2.08,1.7,17.5,97
12.42,4.43,2.73,26.5,102
12.58,1.29,2.1,20.0,103
13.83,1.65,2.6,17.2,94
13.03,0.9,1.71,16.0,86
14.22,1.7,2.3,16.3,118
13.39,1.77,2.62,16.1,93
13.23,3.3,2.28,18.5,98
13.49,3.59,2.19,19.5,88
12.51,1.73,1.98,20.5,85
12.33,0.99,1.95,14.8,136
13.28,1.64,2.84,15.5,110
12.29,2.83,2.22,18.0,88
13.71,1.86,2.36,16.6,101
13.88,5.04,2.23,20.0,80
12.29,1.41,1.98,16.0,85
12.21,1.19,1.75,16.8,151
12.82,3.37,2.3,19.5,88
14.12,1.48,2.32,16.8,95
14.39,1.87,2.45,14.6,96
13.3,1.72,2.14,17.0,94
12.25,3.88,2.2,18.5,112
13.24,2.59,2.87,21.0,118
13.68,1.83,2.36,17.2,104
12.47,1.52,2.2,19.0,162
12.2,3.03,2.32,19.0,96
11.66,1.88,1.92,16.0,97
14.1,2.16,2.3,18.0,105
12.87,4.61,2.48,21.5,86
13.05,5.8,2.13,21.5,86
14.23,1.71,2.43,15.6,127
13.52,3.17,2.72,23.5,97
12.43,1.53,2.29,21.5,86
12.17,1.45,2.53,19.0,104
13.05,1.77,2.1,17.0,107
11.81,2.12,2.74,21.5,134
13.87,1.9,2.8,19.4,107
13.56,1.71,2.31,16.2,117
11.79,2.13,2.78,28.5,92
13.05,2.05,3.22,25.0,124
12.85,1.6,2.52,17.8,95
12.81,2.31,2.4,24.0,98
12.72,1.81,2.2,18.8,86
12.7,3.87,2.4,23.0,101
11.84,0.89,2.58,18.0,94
14.22,3.99,2.51,13.2,128
12.6,1.34,1.9,18.5,88
12.16,1.61,2.31,22.8,90
11.45,2.4,2.42,20.0,96
13.71,5.65,2.45,20.5,95
12.85,3.27,2.58,22.0,106
13.9,1.68,2.12,16.0,101
11.62,1.99,2.28,18.0,98
12.6,2.46,2.2,18.5,94
